케익,빵,쿠키,머핀,베이글,파이,토스트,와플,호떡,마카롱,도넛
 초코무스 조각케익, 붕어빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,, 치즈 베이글, 초코파이, 프렌치토스트,, 꿀호떡 요요, 마카롱, 도넛(링)
 까망베르크림치즈케익, 붕어빵, 버터쿠키(이마트 노브랜드),, 베이글, 초코파이, 토스트,, 꿀호떡 옛날꿀호떡, 마카롱, 도넛(링)
 오예스 미니 마스카포네 치즈케익, 식빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,, 어니언베이글, 후렌치파이 딸기, 계란 토스트,, 꿀호떡 요요, 마카롱, 도넛(링)
 핫케익, 찐빵(채소), 초코칩쿠키,, 참깨 베이글, 초코파이, 토스트,, 호떡, 마카롱, 도넛(링)
 핫케익, 식빵, 초코칩 쿠키,, 플레인베이글, 후렌치파이 사과, 프렌치토스트,, 꿀호떡 옛날꿀호떡, 마카롱, 도넛(링)
 핫케익, 식빵, 뉴트리 디데이 다이어트 쿠키앤크림 쉐이크,, 베이글, 초코파이, 프렌치토스트,, 호떡, 마카롱, 꽈배기도넛
 핫케익, 붕어빵, 초코칩쿠키,, 호두 크림치즈 베이글, 초코파이, 프렌치토스트,, 호떡, 마카롱모카파티, 도넛(링)
 핫케익, 우유식빵, 초코칩쿠키,, 어니언베이글, 초코파이, 프렌치토스트,, 호떡, 마카롱, 도넛(링)
 핫케익, 붕어빵, 청정목장 우유 쿠키,, 블루베리 베이글, 초코파이, 계란 토스트,, 호떡, 마카롱, 도넛(링)
 핫케익, 붕어빵, 허쉬 초콜릿 칩 쿠키,,, 초코파이, 토스트,, 꿀호떡 한입가득, 마카롱, 도넛(링)
 핫케익, 팥빵, 초코칩쿠키,,, 명가찰떡파이, 프렌치토스트,, 호떡, 마카롱, 도넛(팥)
 오예스 미니 마스카포네 치즈케익, 식빵(쨈), 초코칩쿠키,,, 빅파이, 프렌치토스트,, 호떡, 마카롱, 도넛(링)
 핫케익, 초코소라빵, 까망베르 치즈쿠키,,, 초코파이, 프렌치토스트,, 호떡, 마카롱, 도넛(링)
 핫케익, 붕어빵, 버터쿠키(이마트 노브랜드),,, 초코파이, 프렌치토스트,, 호떡, 마카롱, 도넛(링)
 쉬폰케익, 식빵, 머랭쿠키,,, 맥스파이시 상하이 버거, 계란 토스트,, 호떡, 마카롱, 꽈배기도넛
 핫케익, 크림빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 호두파이, 프렌치토스트,, 호떡, 마카롱,
 오예스 미니 마스카포네 치즈케익, 우유식빵, 사과맛 쿠키,,, 후렌치파이 사과, 계란 토스트,, 꿀호떡 요요, 마카롱,
 핫케익, 호밀빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 빅파이, 계란 토스트,, 호떡, 마카롱,
 오예스 미니 마스카포네 치즈케익, 붕어빵, 진짜 맛있는 다이어트 쉐이크 쿠키앤크림,,, 애플파이, 프렌치토스트,, 호떡, 마카롱,
 오예스 미니 마스카포네 치즈케익, 붕어빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 맛있닭 닭가슴살 볼 스파이시, 토스트,, 옛날찰호떡, 마카롱,
 촉촉한 고구마케익, 식빵, 초코칩 쿠키,,, 카스타드롤파이, 프렌치토스트,, 호떡, 마카롱,
 핫케익, 식빵, ABC 초코쿠키,,, 초코파이, 토스트,, 꿀호떡 요요, 마카롱,
 컵케이크, 식빵, 크랜베리&아몬드 쿠키,,, 초코파이, 프렌치토스트,, 호떡, 마카롱,
 초콜렛케이크, 바게트빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 초코파이 바나나, 프렌치토스트,, 호떡, 마카롱쇼콜라,
 몽쉘 생크림 케이크, 호떡빵, 브라우니 쿠키,,, 초코파이, 프렌치토스트,, 호떡, 마카롱,
 치즈케이크, 호밀빵, 버터쿠키(이마트 노브랜드),,, 초코파이, 토스트,, 호떡, 마카롱,
 컵케이크, 팥빵, 초코칩쿠키,,, 초코파이, 계란 토스트,, 호떡, 마카롱,
 초콜렛케이크, 크림빵, 찰떡쿠키 오리지널,,, 후렌치파이 그레이프, 토스트,, 꿀호떡 옛날꿀호떡, 마카롱,
 치즈케이크, 먹물치즈 미니식빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 프링글스 핫앤스파이시, 토스트,, 호떡, 마카롱,
 몽쉘 생크림 케이크, 식빵, 초코칩쿠키,,, 호두파이, 토스트,, 호떡, 마카롱,
 롤케이크, 모닝빵, 초코칩쿠키,,, 빅파이, 프렌치토스트,, 호떡, 마카롱,
 블루베리생크림케이크, 식빵, 까망베르 치즈쿠키,,, 후렌치파이 그레이프, 프렌치토스트,, 호떡, 마카롱,
 롤케이크, 식빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 초코파이, 토스트,, 꿀호떡 옛날꿀호떡, 마카롱,
 초콜렛케이크, 붕어빵, 초코칩쿠키,,, 초코파이, 토스트,, 호떡, 마카롱,
 롤케이크, 식빵, 빼빼로 초코쿠키,,, 프링글스 핫앤스파이시, 토스트,, 호떡, 마카롱,
 치즈케이크, 식빵(쨈), 초코칩 쿠키 미니,,, 후렌치파이 사과, 프렌치토스트,, 호떡, 마카롱,
 촉촉 초콜릿 생크림 케이크, 곰보빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 초코파이, 프렌치토스트,, 호떡, 마카롱,
 뚜레쥬르 치즈케이크, 슈크림빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 초코파이, 토스트,, 호떡, 마카롱,
 딸기 케이크, 밤식빵, 버터쿠키(이마트 노브랜드),,, 초코파이, 계란 토스트,, 호떡, 마카롱,
 과일케이크, 식빵, 포춘쿠키,,, 초코파이, 프렌치토스트,, 꿀호떡 요요, 마카롱,
 뚜레쥬르 치즈케이크, 바게트빵, 초코칩 쿠키,,, 초코파이, 토스트,, 호떡, 마카롱,
 몽쉘 생크림 케이크, 식빵, 초코칩쿠키,,, 초코파이, 프렌치토스트,, 꿀호떡 옛날꿀호떡, 마카롱,
 블루베리생크림케이크, 삼립호빵(단팥), ABC 초코쿠키,,, 호두파이, 추억의 옛날토스트,, 호떡, 초코 마카롱,
 몽쉘 생크림 케이크, 붕어빵, 초코칩 쿠키 미니,,, 생크림파이 오리지널, 토스트,, 호떡, 마카롱,
 치즈케이크, 크림빵, 초코칩쿠키,,, 초코파이, 토스트(딸기잼),, 찹쌀호떡믹스, 마카롱,
 당근케이크, 바게트빵, 초코칩쿠키,,, 초코파이, 토스트,, 호떡, 마카롱,
 블루베리생크림케이크, 식빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 생가득 모짜렐라 브리또 스파이시 핫포크, 토스트,, 꿀호떡 한입가득, 마카롱,
 몽쉘 생크림 케이크, 깨찰빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 애플파이, 프렌치토스트,, 호떡, 마카롱,
 롤케이크, 쏘세지빵, 머랭쿠키,,, 초코파이, 토스트,, 호떡, 마카롱,
 초콜렛케이크, 붕어빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 후렌치파이 딸기, 프렌치토스트,, 호떡, 녹차 마카롱,
 베리베리 생크림 조각케이크, 식빵(버터), 버터쿠키(이마트 노브랜드),,, 초코파이, 토스트(딸기잼),, 꿀호떡 한입가득, 마카롱,
 파운드케이크, 식빵(버터), 머랭쿠키,,, 초코파이, 계란 토스트,, 꿀호떡 옛날꿀호떡, 마카롱,
 초콜렛케이크, 마늘빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 초코파이, 토스트,, 꿀호떡 요요, 마카롱,
 롤케이크, 삼립호빵(단팥), 땅콩버터쿠키,,, 엄마손파이, 계란 토스트,,, 마카롱,
 롤케이크, 호밀빵, 뉴트리 디데이 다이어트 쿠키앤크림 쉐이크,,, 후렌치파이 딸기,,,, 마카롱,
 치즈케이크, 팥빵, 땅콩버터쿠키,,, 후렌치파이 그레이프,,,, 녹차 마카롱,
 딸기 케이크, 쏘세지빵, 머랭쿠키,,, 초코파이,,,, 마카롱,
 베리베리 생크림 조각케이크, 곰보빵, 진짜 맛있는 다이어트 쉐이크 쿠키앤크림,,, 명가찰떡파이,,,, 마카롱,
 몽쉘 생크림 케이크, 우유식빵, 초코칩쿠키,,, 초코파이,,,, 마카롱,
 치즈케이크, 호밀빵, 버터쿠키(이마트 노브랜드),,, 초코파이,,,, 마카롱,
 초콜렛케이크, 계란빵, ABC 초코쿠키,,, 초코파이,,,, 마카롱,
 미니카페케이크, 식빵(쨈), 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 초코파이,,,, 초코마카롱 Best,
 생크림케이크5호B, 삼립호빵(단팥), ABC 초코쿠키,,, 초코파이 바나나,,,, 마카롱,
 롤케이크, 호밀빵, 푸드쉐이크 쿠키앤 크림맛,,, 초코파이,,,, 마카롱,
 순수秀우유케이크, 식빵, 크랜베리&아몬드 쿠키,,, 딸기파이,,,, 마카롱,
 아이스박스케이크, 식빵, 뉴트리 디데이 다이어트 쿠키앤크림 쉐이크,,, 초코파이,,,, 마카롱,
 당근케이크, 식빵, 초코칩쿠키,,, 초코파이,,,, 마카롱,
 몽쉘 생크림 케이크, 바나나빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 파이브 믹스,,,, 마카롱,
 클라우드 스트로베리 치즈케이크 Best, 호밀빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 딸기파이,,,, 마카롱,
 몽쉘 생크림 케이크, 국화빵, 초코칩쿠키,,, 초코파이,,,, 마카롱,
 과일케이크, 찐빵(호빵), 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 초코파이,,,, 마카롱,
 레드벨벳 크림치즈 케이크, 팥빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 명가찰떡파이,,,, 마카롱,
 롤케이크, 붕어빵, 오트밀 레이즌쿠키,,, 초코파이,,,, 마카롱,
 치즈케이크, 식빵, 비요뜨 쿠키앤크림,,, 딸기잼롤파이,,,, 마카롱,
 롤케이크, 찐빵(채소), 허쉬 초콜릿 칩 쿠키,,, 빅파이,,,, 마카롱,
 레드벨벳 크림치즈 케이크, 마늘빵, 푸드쉐이크 쿠키앤 크림맛,,, 후렌치파이 사과,,,, 마카롱,
 치즈케이크, 식빵, 사과맛 쿠키,,, 딸기파이,,,, 마카롱,
 초콜렛케이크, 식빵, 버터쿠키(이마트 노브랜드),,, 초코파이,,,, 마카롱,
 촉촉 초콜릿 생크림 케이크, 쫄깃한 천연효모빵, ABC 초코쿠키,,, 초코파이,,,, 마카롱,
 초콜렛케이크, 붕어빵, 뉴트리 디데이 다이어트 쿠키앤크림 쉐이크,,, 초코파이,,,, 마카롱,
 초콜렛케이크, 천연효모 호두 호밀식빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 초코파이,,,, 마카롱,
 몽쉘 생크림 케이크, 붕어빵, 머랭쿠키,,, 초코파이,,,, 녹차 마카롱,
 수플레 케이크, 식빵, 초코칩쿠키,,, 초코파이,,,, 마카롱,
 초콜렛케이크, 순수한맛 순우유식빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 초코파이,,,, 마카롱,
 롤케이크, 식빵, 초코칩 쿠키,,, 호두파이,,,, 마카롱,
 몽쉘 생크림 케이크, 건빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 스파이시불고기버거,,,, 마카롱,
 몽쉘 생크림 케이크, 팥빵, 초코칩쿠키,,, 초코파이,,,, 마카롱,
 초콜렛케이크, 식빵, 딸기쿠키,,, 명가찰떡파이,,,, 마카롱,
 컵케이크, 붕어빵, 찰떡쿠키 오리지널,,, 초코파이,,,, 마카롱,
 파운드케이크, 찐빵(호빵), 버터쿠키(이마트 노브랜드),,, 초코파이,,,, 마카롱,
 롤케이크, 식빵, 초코칩쿠키,,, 초코파이,,,, 마카롱,
 치즈케이크, 붕어빵, 초코칩쿠키,,, 빅파이,,,, 마카롱,
 과일케이크, 식빵, 초코칩쿠키,,, 애플파이,,,, 마카롱,
 몽쉘 생크림 케이크, 호밀빵, 버터쿠키(이마트 노브랜드),,, 초코파이,,,, 마카롱,
 과일케이크, 호밀빵, 딸기쿠키,,, 명가찰떡파이,,,, 마카롱,
 초콜렛케이크, 찐빵(피자), 애플쿠키,,, 초코파이,,,, 마카롱,
 롤케이크, 식빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 후렌치파이 그레이프,,,, 마카롱,
 당근케이크, 식빵(쨈), 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 초코파이,,,, 마카롱,
 고구마케이크(조각), 옥수수식빵, 허쉬 쿠키앤크림 크런쳐스,,, 호두파이,,,, 마카롱,
 파운드케이크, 찐빵(채소), 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 딸기파이,,,, 마카롱,
 파운드케이크, 곰보빵, 뉴트리 디데이 다이어트 쿠키앤크림 쉐이크,,, 초코파이,,,, 마카롱,
 초콜렛케이크, 붕어빵, 땅콩버터쿠키,,, 초코파이,,,, 초코마카롱 Best,
 치즈케이크, 맘모스빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 엄마손파이,,,, 마카롱,
 초콜렛케이크, 팥빵, 초코칩쿠키,,, 초코파이,,,, 마카롱,
 치즈케이크, 식빵, 초코칩쿠키,,, 엄마손파이,,,, 마카롱,
 롤케이크, 식빵, 초코칩쿠키,,, 초코파이,,,, 마카롱,
 뚜레쥬르 치즈케이크, 곰보빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 초코파이,,,, 마카롱,
 초콜렛케이크, 팥빵, 초코칩쿠키,,, 초코파이,,,,,
 초콜렛케이크, 식빵, 초코칩쿠키,,, 초코파이,,,,,
 컵케이크, 찐빵(호빵), 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 초코파이,,,,,
 티라미스 조각케이크, 식빵, ABC 초코쿠키,,, 초코파이,,,,,
 컵케이크, 모닝빵, 머랭쿠키,,, 프링글스 핫앤스파이시,,,,,
 치즈케이크, 식빵, 사과맛 쿠키,,, 초코파이,,,,,
 초콜렛케이크, 붕어빵, 초코칩쿠키,,, 초코파이,,,,,
 딸기 케이크, 식빵, 까망베르 치즈쿠키,,, 명가찰떡파이,,,,,
 더블 프로마쥬 케이크, 초코소라빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 초코파이,,,,,
 롤케이크, 식빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 후렌치파이 딸기,,,,,
 초코헤이즐넛케이크, 식빵, ABC 초코쿠키,,, 초코파이,,,,,
 롤케이크, 식빵, 허쉬 초콜릿 칩 쿠키,,, 호두파이,,,,,
 생크림케이크5호B, 식빵, 초코칩쿠키,,, 초코파이,,,,,
 초콜렛케이크, 슈크림빵, 초코칩 쿠키,,, 초코파이,,,,,
 몽쉘 생크림 케이크, 붕어빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 초코파이,,,,,
 컵케이크, 식빵, 비요뜨 쿠키앤크림,,, 초코파이,,,,,
 블루베리생크림케이크, 식빵, 끌레도르 쿠키앤크림 바,,, 초코파이,,,,,
 파운드케이크, 찐빵(팥), ABC 초코쿠키,,, 초코파이,,,,,
 파운드케이크, 식빵(쨈), 초코칩 쿠키,,, 초코파이,,,,,
 당근케이크, 옥수수식빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 초코파이,,,,,
 롤케이크 컬렉션(블루베리롤), 붕어빵, 허쉬 쿠키앤크림 크런쳐스,,, 초코파이,,,,,
 치즈케이크, 식빵, 초코칩 쿠키 미니,,, 초코파이,,,,,
 쿠키앤치즈케이크, 식빵(쨈), 브라우니 쿠키,,, 명가찰떡파이,,,,,
 과일케이크, 쏘세지빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛,,, 초코파이,,,,,
 순매직딸기케이크B, 열두가지 곡물식빵, 초코칩쿠키,,, 초코파이,,,,,
 초콜렛케이크, 팥빵, 비요뜨 쿠키앤크림,,, 초코파이,,,,,
 롤케이크, 식빵(쨈),,,,,,,,,
 초콜렛케이크, 식빵,,,,,,,,,
 컵케이크, 고구마빵,,,,,,,,,
 치즈케이크, 호떡빵,,,,,,,,,
 부드럽고촉촉한고구마케이크, 찐빵(채소),,,,,,,,,
 롤케이크, 우유식빵,,,,,,,,,
 치즈케이크, 피자빵,,,,,,,,,
 몽쉘 생크림 케이크, 호밀빵,,,,,,,,,
 초콜렛케이크, 식빵,,,,,,,,,
 파운드케이크, 식빵,,,,,,,,,
 치즈케이크, 찐빵(호빵),,,,,,,,,
 치즈케이크, 식빵,,,,,,,,,
 치즈케이크, 호밀빵,,,,,,,,,
 순매직딸기케이크B, 우유식빵,,,,,,,,,
 몽쉘 생크림 케이크, 호밀빵,,,,,,,,,
 롤케이크, 팥빵,,,,,,,,,
 몽쉘 생크림 케이크, 식빵,,,,,,,,,
 컵케이크, 찐빵(피자),,,,,,,,,
 롤케이크, 붕어빵,,,,,,,,,
 초콜렛케이크, 국화빵,,,,,,,,,
 파운드케이크, 붕어빵,,,,,,,,,
 케이크속에순우유 (조각), 식빵,,,,,,,,,
 헤이즐&가나슈 케이크, 바게트빵,,,,,,,,,
 치즈케이크, 붕어빵,,,,,,,,,
 초콜렛케이크, 식빵,,,,,,,,,
 초콜렛케이크, 바나나빵,,,,,,,,,
 초콜렛케이크, 쏘세지빵,,,,,,,,,
 블루베리생크림케이크, 메론빵,,,,,,,,,
 아이스박스케이크, 식빵,,,,,,,,,
 초콜렛케이크, 식빵,,,,,,,,,
 치즈케이크, 식빵,,,,,,,,,
 초콜렛케이크, 완두앙금빵,,,,,,,,,
 롤케이크, 붕어빵,,,,,,,,,
 당근케이크, 식빵(쨈),,,,,,,,,
 몽쉘 생크림 케이크, 삼립호빵(야채),,,,,,,,,
 아이스박스케이크, 식빵,,,,,,,,,
 롤케이크, 마늘빵,,,,,,,,,
 초콜렛케이크, 식빵,,,,,,,,,
 과일케이크, 식빵,,,,,,,,,
 딸기 케이크, 쏘세지빵,,,,,,,,,
 초콜렛케이크, 찐빵(호빵),,,,,,,,,
 치즈케이크, 바나나빵,,,,,,,,,
 치즈케이크, 식빵,,,,,,,,,
 당근케이크, 식빵,,,,,,,,,
 파운드케이크, 건빵,,,,,,,,,
 치즈케이크, 식빵,,,,,,,,,
 몽쉘 생크림 케이크, 붕어빵,,,,,,,,,
 파운드케이크, 찐빵(팥),,,,,,,,,
 블루베리생크림케이크, 식빵,,,,,,,,,
 롤케이크, 식빵,,,,,,,,,
 딸기 케이크, 쏘세지빵,,,,,,,,,
 블루베리생크림케이크, 모닝빵,,,,,,,,,
 러브 브라우니 초코케이크, 식빵,,,,,,,,,
 초콜렛케이크, 붕어빵,,,,,,,,,
 몽쉘 생크림 케이크, 우유식빵,,,,,,,,,
 초콜렛케이크, 찐빵(채소),,,,,,,,,
 롤케이크, 고구마빵,,,,,,,,,
 롤케이크, 마늘빵,,,,,,,,,
 파운드케이크, 붕어빵,,,,,,,,,
 치즈케이크, 식빵(버터),,,,,,,,,
 롤케이크, 식빵,,,,,,,,,
 베리베리 생크림 조각케이크, 식빵,,,,,,,,,
 롤케이크, 식빵,,,,,,,,,
 몽쉘 생크림 케이크, 슈크림빵,,,,,,,,,
 몽쉘 생크림 케이크, 식빵,,,,,,,,,
 생크림케이크3호A, 모닝빵감자샌드위치,,,,,,,,,
 초콜렛케이크, 크림빵,,,,,,,,,
 컵케이크, 마늘빵(바게트),,,,,,,,,
 몽쉘 생크림 케이크, 쫄깃한피자빵,,,,,,,,,
 몽쉘 생크림 케이크, 초코소라빵,,,,,,,,,
 초콜렛케이크, 식빵(쨈),,,,,,,,,
 초콜렛케이크, 모닝빵,,,,,,,,,
 치즈케이크, 호밀빵,,,,,,,,,
 컵케이크, 깨찰빵,,,,,,,,,
 순매직딸기케이크B, 붕어빵,,,,,,,,,
 초콜렛케이크, 옥수수식빵,,,,,,,,,
 치즈케이크, 바게트빵,,,,,,,,,
 치즈케이크, 식빵,,,,,,,,,
 롤케이크, 식빵,,,,,,,,,
 더블 프로마쥬 케이크, 찐빵(팥),,,,,,,,,
 초콜렛케이크, 호밀빵,,,,,,,,,
 초콜렛케이크, 식빵,,,,,,,,,
 순매직딸기케이크B, 호떡빵,,,,,,,,,
 컵케이크, 초코소라빵,,,,,,,,,
 초콜렛케이크, 붕어빵,,,,,,,,,
 가나슈생크림 조각케이크, 쏘세지빵,,,,,,,,,

